"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.689999834E-2,3.170000017E-2,3.278999925E-1,3.343066031E-1
8.614793000E-3,5.689999834E-2,3.170000017E-2,3.278999925E-1,3.343066031E-1
1.861479300E-2,5.689999834E-2,3.170000017E-2,3.278999925E-1,3.343066031E-1
2.863510500E-2,5.689999834E-2,3.170000017E-2,3.278999925E-1,3.343066031E-1
3.861479300E-2,-2.529000044E-1,1.333999932E-1,3.908999860E-1,4.843106126E-1
4.861479300E-2,-2.829999924E-1,3.966999948E-1,5.773000121E-1,7.554701752E-1
5.861323000E-2,2.899000049E-1,5.191000104E-1,1.609999985E-1,6.159771368E-1
6.861479300E-2,2.117999941E-1,3.703999817E-1,-3.339999914E-2,4.279847473E-1
7.861479300E-2,1.730999947E-1,2.492999882E-1,-4.592999816E-1,5.505184514E-1
8.861479300E-2,-5.119999871E-2,9.380000085E-2,-9.983999729E-1,1.004102777E0
9.861479300E-2,-9.429999441E-2,-1.244999990E-1,-7.619999647E-1,7.778410409E-1
1.086147930E-1,-1.200999990E-1,-2.490999997E-1,-1.176999956E-1,3.005463501E-1
1.186147930E-1,-1.632999927E-1,-2.594999969E-1,2.730999887E-1,4.105980271E-1
1.286147930E-1,-1.603000015E-1,-1.729999930E-1,6.836999655E-1,7.232362898E-1
1.386147930E-1,-1.035999954E-1,4.099999741E-2,7.418000102E-1,7.501207996E-1
1.486147930E-1,-1.410999894E-1,2.125999928E-1,4.344999790E-1,5.038831171E-1
1.586147930E-1,-2.930999994E-1,2.474999875E-1,-2.119999938E-2,3.842047546E-1
1.686147930E-1,-1.006999984E-1,3.570000082E-2,-8.749999851E-2,1.380986223E-1
1.786147930E-1,-7.699999958E-2,-1.694999933E-1,-1.799999923E-1,2.589579983E-1
1.886147930E-1,2.403999865E-1,-4.125999808E-1,-6.999999750E-3,4.775771118E-1
1.986147930E-1,4.515999854E-1,-5.230000019E-1,3.623999953E-1,7.802597679E-1
2.086194800E-1,4.117999971E-1,-6.155999899E-1,1.063499928E0,1.295984059E0
2.186147930E-1,2.770999968E-1,-6.746999621E-1,1.920300007E0,2.054155925E0
2.286147930E-1,6.899999920E-3,-5.961999893E-1,1.823599935E0,1.918598123E0
2.386147930E-1,-1.609999985E-1,-4.668999910E-1,7.433999777E-1,8.925021725E-1
2.486163550E-1,2.398999929E-1,-4.539999962E-1,-5.159999803E-2,5.160722459E-1
2.586147930E-1,1.122799993E0,-7.863000035E-1,-1.012300014E0,1.704024307E0
2.686147930E-1,1.481899977E0,-1.029199958E0,-1.574199915E0,2.394448886E0
2.786147930E-1,1.789499998E0,-1.261899948E0,-1.681699991E0,2.760944871E0
2.886163550E-1,1.626899958E0,-1.288599968E0,-1.074699998E0,2.337150709E0
