"Time";"Marqueur 1/0/X";"Marqueur 1/0/Y"
"0";"15,03189";"-142,6752"
"0,033";"15";"-142"
"0,067";"14";"-142"
"0,1";"14";"-142"
"0,133";"14";"-142"
"0,167";"13";"-142"
"0,2";"13";"-142"
"0,233";"12";"-142"
"0,267";"12";"-142"
"0,3";"12";"-142"
"0,333";"12";"-142"
"0,367";"12";"-143"
"0,4";"12";"-143"
"0,433";"12";"-143"
"0,466";"12";"-144"
"0,5";"12";"-144"
"0,533";"13";"-144"
"0,566";"14";"-144"
"0,6";"16";"-144"
"0,633";"17";"-144"
"0,666";"19";"-144"
"0,7";"21";"-145"
"0,733";"23";"-145"
"0,766";"26";"-145"
"0,8";"29";"-146"
"0,833";"32";"-146"
"0,866";"35";"-147"
"0,9";"38";"-147"
"0,933";"41";"-147"
"0,966";"44";"-146"
"1";"47";"-146"
"1,033";"50";"-146"
"1,066";"55";"-146"
"1,1";"56";"-147"
"1,133";"58";"-147"
"1,166";"59";"-147"
"1,2";"61";"-147"
"1,233";"62";"-147"
"1,266";"63";"-147"
"1,299";"64";"-146"
"1,333";"65";"-146"
"1,366";"66";"-146"
"1,399";"68";"-146"
"1,433";"69";"-146"
"1,466";"70";"-145"
"1,499";"71";"-144"
"1,533";"72";"-143"
"1,566";"73";"-143"
"1,599";"73";"-142"
"1,633";"74";"-141"
"1,666";"74";"-140"
"1,699";"74";"-140"
"1,733";"74";"-139"
"1,766";"74";"-139"
"1,799";"74";"-138"
"1,833";"73";"-139"
"1,866";"72";"-139"
"1,899";"71";"-139"
"1,933";"70";"-139"
"1,966";"69";"-140"
"1,999";"68";"-140"
"2,032";"67";"-140"
"2,066";"66";"-139"
"2,099";"65";"-139"
"2,132";"64";"-139"
"2,166";"63";"-139"
"2,199";"63";"-139"
"2,232";"62";"-139"
"2,266";"62";"-139"
"2,299";"61";"-139"
"2,332";"61";"-139"
"2,366";"61";"-139"
"2,399";"61";"-139"
"2,432";"61";"-139"
"2,466";"61";"-139"
"2,499";"61";"-139"
"2,532";"61";"-139"
"2,566";"62";"-139"
"2,599";"62";"-138"
"2,632";"63";"-138"
"2,666";"63";"-139"
"2,699";"63";"-139"
"2,732";"63";"-139"
"2,766";"63";"-139"
"2,799";"63";"-140"
"2,832";"64";"-140"
"2,865";"64";"-140"
"2,899";"64";"-140"
"2,932";"64";"-140"
"2,965";"64";"-140"
"2,999";"64";"-140"
"3,032";"64";"-140"
"3,065";"64";"-140"
"3,099";"64";"-140"
"3,132";"64";"-140"
"3,165";"64";"-139"
"3,199";"63";"-139"
"3,232";"63";"-139"
"3,265";"63";"-139"
"3,299";"63";"-139"
"3,332";"63";"-138"
"3,365";"63";"-136"
"3,399";"63";"-135"
"3,432";"64";"-133"
"3,465";"65";"-131"
"3,499";"66";"-129"
"3,532";"67";"-127"
"3,565";"68";"-125"
"3,599";"69";"-123"
"3,632";"70";"-121"
"3,665";"71";"-119"
"3,698";"72";"-118"
"3,732";"73";"-116"
"3,765";"73";"-114"
"3,798";"73";"-113"
"3,832";"73";"-111"
"3,865";"73";"-110"
"3,898";"72";"-108"
"3,932";"72";"-107"
"3,965";"71";"-106"
"3,998";"70";"-105"
"4,032";"69";"-104"
"4,065";"69";"-104"
"4,098";"68";"-104"
"4,132";"68";"-103"
"4,165";"68";"-103"
"4,198";"68";"-103"
"4,232";"68";"-103"
"4,265";"68";"-103"
"4,298";"68";"-102"
"4,332";"68";"-102"
"4,365";"67";"-102"
"4,398";"67";"-102"
"4,432";"66";"-102"
"4,465";"66";"-102"
"4,498";"65";"-102"
"4,531";"65";"-102"
"4,565";"65";"-102"
"4,598";"65";"-102"
"4,631";"65";"-101"
"4,665";"65";"-101"
"4,698";"65";"-101"
"4,731";"65";"-100"
"4,765";"65";"-100"
"4,798";"65";"-100"
"4,831";"65";"-100"
"4,865";"65";"-100"
"4,898";"65";"-100"
"4,931";"65";"-99"
