"Time";"Trajectoire 1/0/X";"Trajectoire 1/0/Y"
"0";"3,400378";"99,75145"
"0,033";"2,569415";"99,76045"
"0,067";"1,738101";"99,76656"
"0,1";"0,9004948";"99,76573"
"0,133";"-0,7515787";"99,76957"
"0,167";"-1,585532";"99,76896"
"0,2";"-3,236353";"99,7741"
"0,233";"-4,066144";"99,77427"
"0,267";"-4,905274";"99,77938"
"0,3";"-6,557391";"99,797"
"0,333";"-7,386712";"99,81482"
"0,367";"-8,210561";"100,6402"
"0,4";"-9,039819";"100,6339"
"0,433";"-9,875776";"99,82187"
"0,466";"-10,70324";"99,83379"
"0,5";"-11,52834";"99,83747"
"0,533";"-12,34964";"99,83042"
"0,566";"-12,36521";"99,00623"
"0,6";"-13,20031";"99,01745"
"0,633";"-14,03165";"99,03066"
"0,666";"-14,8526";"99,85685"
"0,7";"-15,67865";"99,85502"
"0,733";"-15,67474";"99,84677"
"0,766";"-15,67521";"99,8381"
"0,8";"-15,67903";"99,82937"
"0,833";"-15,68482";"99,82201"
"0,866";"-15,69203";"99,81431"
"0,9";"-16,51789";"99,81389"
"0,933";"-16,5162";"99,81053"
"0,966";"-16,5159";"99,80698"
"1";"-16,51891";"99,80153"
"1,033";"-16,52492";"99,79747"
"1,066";"-17,34942";"99,79678"
"1,1";"-16,52596";"99,78146"
"1,133";"-16,53765";"98,95744"
"1,166";"-16,53719";"99,78165"
"1,199";"-16,54219";"99,77717"
"1,233";"-16,54288";"99,77621"
"1,266";"-16,54187";"99,77666"
"1,299";"-16,53987";"99,77923"
"1,333";"-16,53711";"99,78261"
"1,366";"-16,53632";"99,78559"
"1,399";"-16,53788";"99,78753"
"1,433";"-16,5447";"99,78708"
"1,466";"-17,37188";"99,79022"
"1,499";"-17,37395";"99,78242"
"1,533";"-17,38588";"98,95583"
"1,566";"-17,39369";"98,95568"
"1,599";"-18,21786";"98,96058"
"1,633";"-18,21175";"98,9585"
"1,666";"-18,20962";"98,95432"
"1,699";"-18,21098";"98,94907"
"1,733";"-18,22035";"98,12396"
"1,766";"-18,22502";"98,12927"
"1,799";"-18,23089";"98,13322"
"1,833";"-18,23818";"98,13535"
"1,866";"-18,24699";"98,137"
"1,899";"-18,25494";"98,13747"
"1,932";"-18,25013";"98,13692"
"1,966";"-18,24295";"98,13194"
"1,999";"-18,23345";"98,12482"
"2,032";"-18,21859";"98,12511"
"2,066";"-18,20207";"98,12366"
"2,099";"-17,38759";"98,10774"
"2,132";"-17,3943";"98,10207"
"2,166";"-17,3935";"98,09734"
"2,199";"-17,38697";"98,09354"
"2,232";"-17,37251";"98,09495"
"2,266";"-17,35794";"98,09615"
"2,299";"-16,52597";"98,10894"
"2,332";"-16,51078";"98,92822"
"2,366";"-16,49615";"98,91822"
"2,399";"-15,6812";"98,90163"
"2,432";"-15,68951";"98,89166"
"2,466";"-15,69506";"98,88207"
"2,499";"-15,69464";"98,87223"
"2,532";"-15,69189";"98,86359"
"2,566";"-15,68798";"98,85484"
"2,599";"-15,67874";"98,84686"
"2,632";"-15,66826";"98,83866"
"2,665";"-14,85254";"98,82263"
"2,699";"-14,86234";"98,82362"
"2,732";"-14,8644";"98,83484"
"2,765";"-14,85257";"99,64847"
"2,799";"-14,83919";"99,63828"
"2,832";"-14,02013";"99,6285"
"2,865";"-14,01475";"99,63485"
